Name,ProductCode,IsActive,Description,Stock_Quantity__c,Is_Top_Seller__c,Image_URL__c,Category__c
"Premium Wireless Headphones","WH-001",true,"High-quality wireless headphones with noise cancellation and premium sound quality. Perfect for music enthusiasts and professionals.",50,true,"https://via.placeholder.com/300x300?text=Premium+Headphones","Audio"
"Smart Fitness Watch","FW-002",true,"Advanced fitness tracking with heart rate monitoring, GPS, and 7-day battery life. Ideal for athletes and health-conscious individuals.",30,true,"https://via.placeholder.com/300x300?text=Smart+Watch","Wearables"
"Portable Bluetooth Speaker","BS-003",true,"Waterproof portable speaker with 20-hour battery life and 360-degree sound. Perfect for outdoor activities and parties.",75,false,"https://via.placeholder.com/300x300?text=Bluetooth+Speaker","Audio"
"Wireless Charging Pad","WC-004",true,"Fast wireless charging pad compatible with all devices. Sleek design with LED indicators and safety features.",100,false,"https://via.placeholder.com/300x300?text=Charging+Pad","Accessories"
"4K Action Camera","AC-005",true,"Ultra HD action camera with image stabilization and waterproof case. Perfect for sports, travel, and adventure photography.",25,true,"https://via.placeholder.com/300x300?text=Action+Camera","Accessories"
"Smart Home Hub","SH-006",true,"Central control hub for smart home devices. Compatible with Alexa, Google Home, and Apple HomeKit.",40,false,"https://via.placeholder.com/300x300?text=Smart+Home+Hub","Home"
"Gaming Mechanical Keyboard","KB-007",true,"RGB mechanical gaming keyboard with customizable switches and macro keys. Designed for competitive gaming.",60,true,"https://via.placeholder.com/300x300?text=Gaming+Keyboard","Gaming"
"Wireless Gaming Mouse","GM-008",true,"High-precision wireless gaming mouse with adjustable DPI and programmable buttons. Ultra-low latency for competitive play.",45,false,"https://via.placeholder.com/300x300?text=Gaming+Mouse","Gaming"
"Portable Power Bank","PB-009",true,"20,000mAh portable charger with fast charging and multiple USB ports. Compact design for travel and daily use.",80,true,"https://via.placeholder.com/300x300?text=Power+Bank","Accessories"
"Smart LED Light Bulbs","LB-010",true,"WiFi-enabled smart LED bulbs with 16 million colors and voice control. Compatible with all major smart home platforms.",120,false,"https://via.placeholder.com/300x300?text=Smart+Bulbs","Home"
"Noise Cancelling Earbuds","EB-011",true,"Compact earbuds with active noise cancellation and wireless charging case.",90,true,"https://via.placeholder.com/300x300?text=Earbuds","Audio"
"Smart Thermostat","ST-012",true,"Energy-saving smart thermostat with remote control and schedules.",70,false,"https://via.placeholder.com/300x300?text=Thermostat","Home"
"4K Monitor 27-inch","MN-013",true,"Ultra HD 27-inch monitor with HDR and USB-C connectivity.",35,true,"https://via.placeholder.com/300x300?text=4K+Monitor","Accessories"
"USB-C Hub 8-in-1","HB-014",true,"Aluminum USB-C hub with HDMI, Ethernet, SD, and 100W PD.",150,false,"https://via.placeholder.com/300x300?text=USB-C+Hub","Accessories"
"Ergonomic Office Chair","CH-015",true,"Adjustable lumbar support and breathable mesh back.",20,false,"https://via.placeholder.com/300x300?text=Office+Chair","Accessories"
"Webcam 1080p","WC-016",true,"Full HD webcam with dual microphones and privacy shutter.",110,false,"https://via.placeholder.com/300x300?text=Webcam","Accessories"
"Portable SSD 1TB","SD-017",true,"High-speed external SSD with USB 3.2 Gen 2 performance.",85,true,"https://via.placeholder.com/300x300?text=Portable+SSD","Accessories"
"Laptop Stand Adjustable","LS-018",true,"Aluminum adjustable laptop stand for 10-17 inch laptops.",140,false,"https://via.placeholder.com/300x300?text=Laptop+Stand","Accessories"
"Wireless Presenter","PR-019",true,"Wireless presenter with laser pointer and USB-C receiver.",95,false,"https://via.placeholder.com/300x300?text=Presenter","Accessories"
"Gaming Headset","GH-020",true,"Surround sound gaming headset with detachable mic.",65,true,"https://via.placeholder.com/300x300?text=Gaming+Headset","Gaming"

